TilausID,Tilauspäivä,AsiakasID,TuoteID,Tuote,Tuoteryhmä,Määrä,Yksikköhinta,Alennus_prosentti,Myynti,Kustannus,Kate,Kaupunki,Myyntikanava,Maksutapa
T00434,2025-01-02,A0086,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,5,85.41,47.00,38.41,Jyväskylä,Sähköposti,PayPal
T00435,2025-12-26,A0404,P009,Termospullo,Koti,1,32.90,10,29.61,13.50,16.11,Seinäjoki,Google,MobilePay
T00436,2026-04-08,A0011,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,0,139.80,70.00,69.80,Oulu,Sosiaalinen media,Kortti
T00437,2025-03-17,A0375,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Espoo,Verkkokauppa,Verkkopankki
T00438,2026-05-10,A0085,P012,Hierontapallo,Hyvinvointi,1,19.90,15,16.91,6.50,10.41,Seinäjoki,Sähköposti,MobilePay
T00439,2025-02-24,A0210,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,20,55.92,35.00,20.92,Vaasa,Sosiaalinen media,Verkkopankki
T00440,2025-11-01,A0282,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Kuopio,Google,Kortti
T00441,2026-01-05,A0339,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Seinäjoki,Sähköposti,MobilePay
T00442,2025-04-10,A0042,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,5,85.41,47.00,38.41,Kuopio,Verkkokauppa,Verkkopankki
T00443,2026-02-12,A0047,P008,LED-pöytävalaisin,Koti,1,44.90,5,42.65,20.00,22.65,Vaasa,Sähköposti,MobilePay
T00444,2026-01-15,A0023,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Turku,Sähköposti,PayPal
T00445,2025-09-27,A0078,P004,USB-C-laturi,Elektroniikka,2,29.90,0,59.80,23.00,36.80,Espoo,Verkkokauppa,Verkkopankki
T00446,2026-07-09,A0284,P007,Mekaaninen näppäimistö,Työpiste,3,99.90,5,284.72,156.00,128.72,Helsinki,Sähköposti,PayPal
T00447,2026-07-03,A0121,P011,Joogamatto,Hyvinvointi,2,39.90,0,79.80,32.00,47.80,Kuopio,Sosiaalinen media,Kortti
T00448,2026-02-09,A0293,P015,Laptop-suojatasku,Asusteet,2,34.90,0,69.80,28.00,41.80,Vaasa,Google,Kortti
T00449,2026-04-05,A0109,P003,Älykello,Elektroniikka,3,129.90,0,389.70,216.00,173.70,Tampere,Google,Kortti
T00450,2026-03-10,A0422,P002,Bluetooth-kaiutin,Elektroniikka,4,69.90,0,279.60,140.00,139.60,Vantaa,Sosiaalinen media,Verkkopankki
T00451,2025-03-10,A0167,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,0,69.90,35.00,34.90,Turku,Sähköposti,Kortti
T00452,2026-06-20,A0076,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Seinäjoki,Verkkokauppa,Kortti
T00453,2026-07-31,A0275,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Oulu,Sähköposti,Verkkopankki
T00454,2026-01-28,A0020,P011,Joogamatto,Hyvinvointi,1,39.90,5,37.90,16.00,21.90,Vantaa,Sosiaalinen media,PayPal
T00455,2025-05-28,A0020,P010,Kahvimylly,Koti,1,59.90,5,56.90,29.00,27.90,Jyväskylä,Sosiaalinen media,MobilePay
T00456,2025-02-20,A0191,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Helsinki,Sosiaalinen media,Verkkopankki
T00457,2025-11-15,A0351,P005,Kannettavan teline,Työpiste,2,54.90,10,98.82,50.00,48.82,Espoo,Google,MobilePay
T00458,2025-11-04,A0138,P012,Hierontapallo,Hyvinvointi,1,19.90,10,17.91,6.50,11.41,Jyväskylä,Verkkokauppa,MobilePay
T00459,2026-03-29,A0249,P004,USB-C-laturi,Elektroniikka,3,29.90,0,89.70,34.50,55.20,Vaasa,Sosiaalinen media,Kortti
T00460,2026-06-12,A0260,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Jyväskylä,Google,Kortti
T00461,2025-06-27,A0030,P004,USB-C-laturi,Elektroniikka,2,29.90,0,59.80,23.00,36.80,Tampere,Verkkokauppa,PayPal
T00462,2025-02-21,A0189,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Kuopio,Sähköposti,Kortti
T00463,2025-02-01,A0091,P004,USB-C-laturi,Elektroniikka,1,29.90,5,28.40,11.50,16.90,Kuopio,Sosiaalinen media,Verkkopankki
T00464,2025-06-17,A0353,P014,Reppu 20L,Asusteet,2,64.90,5,123.31,62.00,61.31,Espoo,Sosiaalinen media,Kortti
T00465,2026-01-31,A0110,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Tampere,Google,MobilePay
T00466,2025-10-03,A0400,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Helsinki,Sähköposti,MobilePay
T00467,2025-06-27,A0312,P010,Kahvimylly,Koti,2,59.90,0,119.80,58.00,61.80,Turku,Sosiaalinen media,PayPal
T00468,2026-01-21,A0239,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Turku,Sähköposti,Kortti
T00469,2025-01-08,A0430,P009,Termospullo,Koti,4,32.90,15,111.86,54.00,57.86,Oulu,Sosiaalinen media,Verkkopankki
T00470,2025-04-21,A0328,P008,LED-pöytävalaisin,Koti,1,44.90,20,35.92,20.00,15.92,Oulu,Sosiaalinen media,Verkkopankki
T00471,2025-11-02,A0030,P004,USB-C-laturi,Elektroniikka,1,29.90,10,26.91,11.50,15.41,Seinäjoki,Sähköposti,Verkkopankki
T00472,2025-05-24,A0152,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Turku,Sähköposti,PayPal
T00473,2026-02-02,A0293,P012,Hierontapallo,Hyvinvointi,1,19.90,5,18.90,6.50,12.40,Tampere,Sosiaalinen media,MobilePay
T00474,2026-07-02,A0344,P011,Joogamatto,Hyvinvointi,2,39.90,15,67.83,32.00,35.83,Oulu,Sosiaalinen media,MobilePay
T00475,2026-07-26,A0380,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Turku,Google,Verkkopankki
T00476,2025-04-02,A0158,P004,USB-C-laturi,Elektroniikka,1,29.90,5,28.40,11.50,16.90,Jyväskylä,Sosiaalinen media,Verkkopankki
T00477,2025-09-24,A0241,P010,Kahvimylly,Koti,1,59.90,10,53.91,29.00,24.91,Helsinki,Verkkokauppa,PayPal
T00478,2025-07-19,A0272,P009,Termospullo,Koti,1,32.90,5,31.25,13.50,17.75,Turku,Sähköposti,Kortti
T00479,2025-06-04,A0292,P003,Älykello,Elektroniikka,4,129.90,0,519.60,288.00,231.60,Kuopio,Google,Verkkopankki
T00480,2025-07-04,A0091,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Oulu,Verkkokauppa,Kortti
T00481,2026-04-08,A0296,P005,Kannettavan teline,Työpiste,1,54.90,10,49.41,25.00,24.41,Vantaa,Sähköposti,Kortti
T00482,2025-05-13,A0220,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Kuopio,Sähköposti,Kortti
T00483,2025-02-08,A0008,P009,Termospullo,Koti,1,32.90,0,32.90,13.50,19.40,Oulu,Google,Kortti
T00484,2025-01-05,A0450,P011,Joogamatto,Hyvinvointi,2,39.90,0,79.80,32.00,47.80,Oulu,Sosiaalinen media,MobilePay
T00485,2025-04-16,A0034,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Helsinki,Sosiaalinen media,Verkkopankki
T00486,2026-04-12,A0223,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Vantaa,Sosiaalinen media,PayPal
T00487,2026-01-03,A0416,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,15,21.16,8.50,12.66,Jyväskylä,Verkkokauppa,MobilePay
T00488,2025-08-18,A0012,P012,Hierontapallo,Hyvinvointi,4,19.90,0,79.60,26.00,53.60,Seinäjoki,Google,Kortti
T00489,2026-01-11,A0449,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Turku,Verkkokauppa,Kortti
T00490,2025-04-21,A0060,P011,Joogamatto,Hyvinvointi,2,39.90,0,79.80,32.00,47.80,Jyväskylä,Sähköposti,PayPal
T00491,2025-05-07,A0106,P009,Termospullo,Koti,1,32.90,5,31.25,13.50,17.75,Helsinki,Sosiaalinen media,PayPal
T00492,2025-04-14,A0359,P011,Joogamatto,Hyvinvointi,1,39.90,5,37.90,16.00,21.90,Vantaa,Sähköposti,Kortti
T00493,2026-06-08,A0402,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Espoo,Sähköposti,MobilePay
T00494,2025-07-24,A0104,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Oulu,Sähköposti,Verkkopankki
T00495,2025-06-14,A0353,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,15,76.42,47.00,29.42,Kuopio,Sosiaalinen media,MobilePay
T00496,2025-01-03,A0428,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,15,76.42,47.00,29.42,Seinäjoki,Sähköposti,MobilePay
T00497,2025-04-03,A0052,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,5,23.65,8.50,15.15,Turku,Google,PayPal
T00498,2025-10-31,A0090,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Helsinki,Sosiaalinen media,Verkkopankki
T00499,2025-11-17,A0389,P007,Mekaaninen näppäimistö,Työpiste,2,99.90,0,199.80,104.00,95.80,Helsinki,Verkkokauppa,MobilePay
T00500,2025-06-24,A0319,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Turku,Verkkokauppa,Verkkopankki
T00501,2025-12-17,A0234,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Turku,Sähköposti,PayPal
T00502,2026-03-08,A0068,P011,Joogamatto,Hyvinvointi,2,39.90,0,79.80,32.00,47.80,Helsinki,Google,Kortti
T00503,2026-03-03,A0348,P015,Laptop-suojatasku,Asusteet,1,34.90,10,31.41,14.00,17.41,Kuopio,Google,PayPal
T00504,2026-01-03,A0430,P010,Kahvimylly,Koti,1,59.90,5,56.90,29.00,27.90,Vantaa,Sähköposti,PayPal
T00505,2025-04-26,A0134,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Oulu,Verkkokauppa,MobilePay
T00506,2025-12-13,A0049,P009,Termospullo,Koti,1,32.90,5,31.25,13.50,17.75,Jyväskylä,Google,PayPal
T00507,2025-12-21,A0430,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Vaasa,Verkkokauppa,Kortti
T00508,2025-06-10,A0446,P009,Termospullo,Koti,2,32.90,10,59.22,27.00,32.22,Vantaa,Verkkokauppa,PayPal
T00509,2025-11-25,A0260,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Tampere,Sähköposti,PayPal
T00510,2025-08-29,A0230,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,10,62.91,35.00,27.91,Espoo,Sähköposti,PayPal
T00511,2025-11-20,A0010,P002,Bluetooth-kaiutin,Elektroniikka,4,69.90,5,265.62,140.00,125.62,Espoo,Sähköposti,PayPal
T00512,2025-02-06,A0406,P009,Termospullo,Koti,1,32.90,10,29.61,13.50,16.11,Seinäjoki,Sosiaalinen media,MobilePay
T00513,2026-04-13,A0115,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Kuopio,Sosiaalinen media,PayPal
T00514,2026-01-08,A0338,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Tampere,Verkkokauppa,Verkkopankki
T00515,2025-12-30,A0281,P014,Reppu 20L,Asusteet,1,64.90,10,58.41,31.00,27.41,Vaasa,Sosiaalinen media,Kortti
T00516,2025-02-16,A0368,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Jyväskylä,Verkkokauppa,Verkkopankki
T00517,2025-07-20,A0111,P004,USB-C-laturi,Elektroniikka,1,29.90,10,26.91,11.50,15.41,Kuopio,Google,Verkkopankki
T00518,2025-04-21,A0429,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,15,21.16,8.50,12.66,Seinäjoki,Verkkokauppa,PayPal
T00519,2026-04-14,A0256,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Helsinki,Verkkokauppa,PayPal
T00520,2026-05-10,A0091,P015,Laptop-suojatasku,Asusteet,1,34.90,15,29.66,14.00,15.66,Seinäjoki,Google,MobilePay
T00521,2025-04-17,A0165,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,5,94.91,52.00,42.91,Vaasa,Sähköposti,PayPal
T00522,2025-09-12,A0151,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Kuopio,Google,MobilePay
T00523,2026-02-27,A0154,P010,Kahvimylly,Koti,2,59.90,5,113.81,58.00,55.81,Vaasa,Sosiaalinen media,MobilePay
T00524,2025-07-25,A0177,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Vantaa,Google,Verkkopankki
T00525,2025-04-29,A0293,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Jyväskylä,Sosiaalinen media,PayPal
T00526,2025-01-14,A0028,P009,Termospullo,Koti,1,32.90,0,32.90,13.50,19.40,Helsinki,Google,Verkkopankki
T00527,2025-06-14,A0032,P005,Kannettavan teline,Työpiste,2,54.90,0,109.80,50.00,59.80,Turku,Google,Kortti
T00528,2026-01-03,A0346,P014,Reppu 20L,Asusteet,1,64.90,5,61.66,31.00,30.66,Vaasa,Google,PayPal
T00529,2025-09-01,A0148,P009,Termospullo,Koti,2,32.90,10,59.22,27.00,32.22,Helsinki,Sähköposti,PayPal
T00530,2026-03-03,A0283,P013,Vastuskuminauhasetti,Hyvinvointi,3,24.90,0,74.70,25.50,49.20,Helsinki,Verkkokauppa,Verkkopankki
T00531,2025-07-27,A0227,P010,Kahvimylly,Koti,2,59.90,10,107.82,58.00,49.82,Tampere,Sosiaalinen media,MobilePay
T00532,2025-07-18,A0039,P005,Kannettavan teline,Työpiste,1,54.90,20,43.92,25.00,18.92,Vantaa,Google,Kortti
T00533,2026-01-22,A0067,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Vantaa,Sosiaalinen media,Kortti
T00534,2025-12-05,A0079,P008,LED-pöytävalaisin,Koti,2,44.90,0,89.80,40.00,49.80,Oulu,Verkkokauppa,Verkkopankki
T00535,2026-05-18,A0402,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Oulu,Google,MobilePay
T00536,2026-06-18,A0279,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,0,139.80,70.00,69.80,Vaasa,Sähköposti,Kortti
T00537,2025-12-24,A0170,P004,USB-C-laturi,Elektroniikka,2,29.90,5,56.81,23.00,33.81,Oulu,Sosiaalinen media,MobilePay
T00538,2026-06-28,A0333,P008,LED-pöytävalaisin,Koti,4,44.90,10,161.64,80.00,81.64,Helsinki,Verkkokauppa,Verkkopankki
T00539,2026-04-02,A0319,P004,USB-C-laturi,Elektroniikka,3,29.90,5,85.21,34.50,50.71,Tampere,Verkkokauppa,Verkkopankki
T00540,2026-01-26,A0132,P015,Laptop-suojatasku,Asusteet,2,34.90,0,69.80,28.00,41.80,Vaasa,Sosiaalinen media,Kortti
T00541,2026-06-14,A0261,P014,Reppu 20L,Asusteet,2,64.90,0,129.80,62.00,67.80,Kuopio,Sähköposti,Kortti
T00542,2025-10-31,A0043,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Espoo,Google,Kortti
T00543,2025-03-09,A0443,P004,USB-C-laturi,Elektroniikka,1,29.90,10,26.91,11.50,15.41,Jyväskylä,Verkkokauppa,MobilePay
T00544,2026-07-05,A0397,P014,Reppu 20L,Asusteet,2,64.90,20,103.84,62.00,41.84,Jyväskylä,Verkkokauppa,MobilePay
T00545,2025-01-25,A0038,P008,LED-pöytävalaisin,Koti,2,44.90,0,89.80,40.00,49.80,Helsinki,Google,Verkkopankki
T00546,2026-07-26,A0133,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,0,69.90,35.00,34.90,Jyväskylä,Sähköposti,PayPal
T00547,2026-02-19,A0061,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Vaasa,Verkkokauppa,Kortti
T00548,2025-02-16,A0258,P012,Hierontapallo,Hyvinvointi,2,19.90,0,39.80,13.00,26.80,Espoo,Sosiaalinen media,Verkkopankki
T00549,2025-03-30,A0203,P005,Kannettavan teline,Työpiste,2,54.90,0,109.80,50.00,59.80,Helsinki,Sähköposti,MobilePay
T00550,2026-07-01,A0409,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Vaasa,Sosiaalinen media,MobilePay
T00551,2025-11-02,A0444,P011,Joogamatto,Hyvinvointi,2,39.90,15,67.83,32.00,35.83,Oulu,Verkkokauppa,MobilePay
T00552,2025-05-07,A0276,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,5,85.41,47.00,38.41,Vaasa,Verkkokauppa,Verkkopankki
T00553,2025-08-04,A0109,P012,Hierontapallo,Hyvinvointi,2,19.90,5,37.81,13.00,24.81,Jyväskylä,Google,MobilePay
T00554,2025-07-08,A0059,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Vantaa,Verkkokauppa,PayPal
T00555,2026-07-17,A0051,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,0,69.90,35.00,34.90,Tampere,Sähköposti,Verkkopankki
T00556,2026-01-01,A0146,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Seinäjoki,Verkkokauppa,MobilePay
T00557,2025-11-22,A0157,P008,LED-pöytävalaisin,Koti,1,44.90,5,42.65,20.00,22.65,Seinäjoki,Google,Verkkopankki
T00558,2025-11-20,A0403,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Tampere,Sähköposti,Verkkopankki
T00559,2026-01-04,A0246,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Kuopio,Sähköposti,Verkkopankki
T00560,2025-11-09,A0311,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Espoo,Sosiaalinen media,MobilePay
T00561,2026-07-06,A0040,P004,USB-C-laturi,Elektroniikka,1,29.90,10,26.91,11.50,15.41,Espoo,Verkkokauppa,Kortti
T00562,2026-02-19,A0283,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,15,21.16,8.50,12.66,Turku,Sähköposti,MobilePay
T00563,2026-01-10,A0376,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,10,89.91,52.00,37.91,Turku,Google,PayPal
T00564,2026-05-29,A0006,P009,Termospullo,Koti,1,32.90,0,32.90,13.50,19.40,Tampere,Google,MobilePay
T00565,2026-04-02,A0338,P003,Älykello,Elektroniikka,1,129.90,15,110.42,72.00,38.42,Vantaa,Sähköposti,Verkkopankki
T00566,2025-02-11,A0136,P004,USB-C-laturi,Elektroniikka,2,29.90,0,59.80,23.00,36.80,Oulu,Google,Kortti
T00567,2025-07-31,A0241,P009,Termospullo,Koti,3,32.90,0,98.70,40.50,58.20,Kuopio,Verkkokauppa,Kortti
T00568,2025-11-28,A0425,P002,Bluetooth-kaiutin,Elektroniikka,2,69.90,0,139.80,70.00,69.80,Turku,Sosiaalinen media,MobilePay
T00569,2026-01-21,A0428,P011,Joogamatto,Hyvinvointi,1,39.90,5,37.90,16.00,21.90,Espoo,Sosiaalinen media,PayPal
T00570,2025-08-17,A0177,P009,Termospullo,Koti,1,32.90,10,29.61,13.50,16.11,Kuopio,Sähköposti,Kortti
T00571,2026-05-29,A0040,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Vaasa,Sosiaalinen media,MobilePay
T00572,2025-06-03,A0419,P003,Älykello,Elektroniikka,1,129.90,5,123.41,72.00,51.41,Espoo,Google,PayPal
T00573,2025-12-05,A0246,P012,Hierontapallo,Hyvinvointi,1,19.90,5,18.90,6.50,12.40,Tampere,Google,PayPal
T00574,2025-01-23,A0083,P004,USB-C-laturi,Elektroniikka,1,29.90,0,29.90,11.50,18.40,Vantaa,Verkkokauppa,MobilePay
T00575,2025-02-27,A0208,P003,Älykello,Elektroniikka,1,129.90,0,129.90,72.00,57.90,Seinäjoki,Verkkokauppa,Verkkopankki
T00576,2025-03-29,A0445,P004,USB-C-laturi,Elektroniikka,1,29.90,20,23.92,11.50,12.42,Kuopio,Google,MobilePay
T00577,2026-02-25,A0393,P010,Kahvimylly,Koti,1,59.90,5,56.90,29.00,27.90,Vantaa,Sosiaalinen media,MobilePay
T00578,2025-12-17,A0118,P015,Laptop-suojatasku,Asusteet,1,34.90,5,33.15,14.00,19.15,Jyväskylä,Sähköposti,MobilePay
T00579,2025-04-22,A0259,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,10,80.91,47.00,33.91,Jyväskylä,Google,Kortti
T00580,2025-07-01,A0450,P008,LED-pöytävalaisin,Koti,3,44.90,5,127.96,60.00,67.96,Vaasa,Verkkokauppa,Kortti
T00581,2026-05-09,A0424,P011,Joogamatto,Hyvinvointi,1,39.90,5,37.90,16.00,21.90,Helsinki,Sähköposti,PayPal
T00582,2026-01-15,A0118,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Kuopio,Sähköposti,Verkkopankki
T00583,2025-04-11,A0120,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Espoo,Sosiaalinen media,PayPal
T00584,2025-09-21,A0004,P004,USB-C-laturi,Elektroniikka,1,29.90,5,28.40,11.50,16.90,Seinäjoki,Verkkokauppa,Kortti
T00585,2026-01-20,A0210,P011,Joogamatto,Hyvinvointi,1,39.90,10,35.91,16.00,19.91,Oulu,Verkkokauppa,MobilePay
T00586,2026-03-13,A0275,P011,Joogamatto,Hyvinvointi,1,39.90,0,39.90,16.00,23.90,Jyväskylä,Sosiaalinen media,Verkkopankki
T00587,2026-02-11,A0286,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Kuopio,Google,Verkkopankki
T00588,2026-07-27,A0296,P009,Termospullo,Koti,1,32.90,20,26.32,13.50,12.82,Oulu,Sähköposti,MobilePay
T00589,2025-05-02,A0083,P012,Hierontapallo,Hyvinvointi,1,19.90,10,17.91,6.50,11.41,Espoo,Google,PayPal
T00590,2025-12-13,A0362,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,5,23.65,8.50,15.15,Helsinki,Google,PayPal
T00591,2025-01-06,A0308,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Jyväskylä,Verkkokauppa,Kortti
T00592,2025-09-27,A0371,P004,USB-C-laturi,Elektroniikka,1,29.90,5,28.40,11.50,16.90,Jyväskylä,Sähköposti,Verkkopankki
T00593,2025-02-28,A0225,P013,Vastuskuminauhasetti,Hyvinvointi,2,24.90,5,47.31,17.00,30.31,Helsinki,Google,Verkkopankki
T00594,2025-07-19,A0358,P001,Langattomat kuulokkeet,Elektroniikka,2,89.90,0,179.80,94.00,85.80,Tampere,Google,Kortti
T00595,2026-01-04,A0045,P004,USB-C-laturi,Elektroniikka,1,29.90,20,23.92,11.50,12.42,Turku,Sähköposti,Verkkopankki
T00596,2026-02-09,A0378,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,0,99.90,52.00,47.90,Espoo,Verkkokauppa,Verkkopankki
T00597,2026-07-27,A0418,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Turku,Google,MobilePay
T00598,2026-04-11,A0090,P015,Laptop-suojatasku,Asusteet,1,34.90,0,34.90,14.00,20.90,Jyväskylä,Verkkokauppa,Kortti
T00599,2026-05-31,A0263,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Turku,Sosiaalinen media,PayPal
T00600,2026-01-22,A0174,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Kuopio,Sähköposti,Kortti
T00601,2026-05-09,A0404,P002,Bluetooth-kaiutin,Elektroniikka,1,69.90,0,69.90,35.00,34.90,Tampere,Google,Verkkopankki
T00602,2026-02-27,A0427,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Turku,Google,Verkkopankki
T00603,2025-04-06,A0039,P007,Mekaaninen näppäimistö,Työpiste,1,99.90,10,89.91,52.00,37.91,Vaasa,Google,PayPal
T00604,2025-11-18,A0094,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Tampere,Sähköposti,MobilePay
T00605,2025-08-29,A0118,P012,Hierontapallo,Hyvinvointi,1,19.90,0,19.90,6.50,13.40,Tampere,Google,Verkkopankki
T00606,2025-06-09,A0347,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,15,21.16,8.50,12.66,Kuopio,Verkkokauppa,Kortti
T00607,2026-05-09,A0295,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Turku,Sähköposti,MobilePay
T00608,2026-06-08,A0066,P005,Kannettavan teline,Työpiste,1,54.90,10,49.41,25.00,24.41,Helsinki,Sähköposti,PayPal
T00609,2026-07-08,A0352,P001,Langattomat kuulokkeet,Elektroniikka,1,89.90,0,89.90,47.00,42.90,Vantaa,Sähköposti,Kortti
T00610,2026-06-15,A0346,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Tampere,Sähköposti,Kortti
T00611,2025-11-30,A0281,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Turku,Google,Verkkopankki
T00612,2026-04-28,A0218,P010,Kahvimylly,Koti,1,59.90,0,59.90,29.00,30.90,Tampere,Sähköposti,Verkkopankki
T00613,2026-01-09,A0293,P014,Reppu 20L,Asusteet,1,64.90,0,64.90,31.00,33.90,Vantaa,Google,Kortti
T00614,2025-10-04,A0196,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Tampere,Google,MobilePay
T00615,2026-04-30,A0069,P013,Vastuskuminauhasetti,Hyvinvointi,1,24.90,0,24.90,8.50,16.40,Vaasa,Sosiaalinen media,PayPal
T00616,2025-11-04,A0204,P005,Kannettavan teline,Työpiste,1,54.90,0,54.90,25.00,29.90,Espoo,Google,Kortti
T00617,2025-08-09,A0050,P014,Reppu 20L,Asusteet,1,64.90,10,58.41,31.00,27.41,Kuopio,Sosiaalinen media,Verkkopankki
T00618,2026-01-05,A0132,P006,Langaton hiiri,Työpiste,1,39.90,15,33.91,17.00,16.91,Oulu,Verkkokauppa,PayPal
T00619,2025-05-05,A0102,P006,Langaton hiiri,Työpiste,2,39.90,15,67.83,34.00,33.83,Seinäjoki,Google,Verkkopankki
T00620,2025-12-30,A0378,P006,Langaton hiiri,Työpiste,1,39.90,0,39.90,17.00,22.90,Kuopio,Verkkokauppa,PayPal
T00621,2025-10-21,A0086,P008,LED-pöytävalaisin,Koti,1,44.90,0,44.90,20.00,24.90,Oulu,Sähköposti,PayPal
